name,position,composite_score,production_score,reliability_score,sentiment_score,value_score,position_rank
Malik Nabers,WR,0.836,0.944,0.816,0.5,0.694,5
Derrick Henry,RB,0.857,0.836,0.996,0.8,0.607,11
Marvin Harrison Jr.,WR,0.752,0.764,0.941,0.5,0.375,18
Omarion Hampton,RB,0.787,0.754,0.936,0.7,0.59,16
Xavier Worthy,WR,0.751,0.75,0.943,0.6,0.333,19
DeVonta Smith,WR,0.649,0.625,0.872,0.5,0.25,28
Brian Robinson Jr.,RB,0.586,0.541,0.788,0.5,0.295,29
Colston Loveland,TE,0.643,0.577,0.799,0.8,0.346,12
Jordan Mason,RB,0.444,0.311,0.727,0.6,0.098,43
Jordan Love,QB,0.483,0.3,0.719,0.6,0.567,22
Hunter Henry,TE,0.565,0.462,0.651,0.7,0.692,15
Steelers D/ST,D/ST,0.803,0.957,0.857,0.5,0.174,2
Chase McLaughlin,K,0.894,1.0,0.977,0.8,0.211,1
Drake Maye,QB,0.532,0.367,0.717,0.7,0.633,20
Justin Herbert,QB,0.629,0.633,0.818,0.5,0.167,12
Amon-Ra St. Brown,WR,0.903,0.931,0.998,0.7,0.681,6
Brian Thomas Jr.,WR,0.884,0.889,0.99,0.8,0.625,9
Kenneth Walker III,RB,0.787,0.77,0.965,0.6,0.525,15
Breece Hall,RB,0.712,0.689,0.934,0.5,0.377,20
T.J. Hockenson,TE,0.749,0.846,0.776,0.7,0.231,5
Jaylen Waddle,WR,0.665,0.639,0.829,0.5,0.472,27
Kyler Murray,QB,0.735,0.767,0.889,0.65,0.2,8
Deebo Samuel,WR,0.526,0.444,0.784,0.5,0.181,41
Michael Pittman Jr.,WR,0.462,0.361,0.759,0.4,0.139,47
Quinshon Judkins,RB,0.479,0.377,0.785,0.4,0.148,39
Luther Burden III,WR,0.392,0.111,0.635,0.6,0.861,65
Brandon Aiyuk,WR,0.199,0.069,0.193,0.4,0.667,68
Darren Waller,TE,0.35,0.346,0.143,0.5,0.846,18
Vikings D/ST,D/ST,0.755,0.87,0.824,0.6,0.13,4
Tyler Bass,K,0.708,0.789,0.72,0.6,0.368,5
Bijan Robinson,RB,0.962,1.0,0.999,0.8,0.82,1
Josh Jacobs,RB,0.875,0.869,0.989,0.8,0.639,9
Josh Allen,QB,0.884,0.967,0.992,0.7,0.333,2
Courtland Sutton,WR,0.698,0.667,0.886,0.6,0.389,25
DK Metcalf,WR,0.762,0.778,0.937,0.6,0.319,17
RJ Harvey,RB,0.646,0.557,0.843,0.8,0.344,28
Jameson Williams,WR,0.639,0.583,0.835,0.7,0.264,31
Isiah Pacheco,RB,0.638,0.59,0.832,0.6,0.328,26
Jayden Reed,WR,0.398,0.333,0.582,0.5,0.069,49
Tank Bigsby,RB,0.47,0.361,0.744,0.5,0.164,40
Jake Ferguson,TE,0.556,0.538,0.55,0.6,0.615,13
Adam Thielen,WR,0.493,0.292,0.697,0.6,0.778,52
Marvin Mims Jr.,WR,0.45,0.194,0.665,0.7,0.833,59
Chris Boswell,K,0.571,0.421,0.896,0.6,0.316,12
Lions D/ST,D/ST,0.692,0.739,0.772,0.6,0.304,7
Nico Collins,WR,0.892,0.917,0.993,0.7,0.653,7
De'Von Achane,RB,0.909,0.934,0.995,0.7,0.738,5
James Cook,RB,0.807,0.803,0.971,0.6,0.541,13
Garrett Wilson,WR,0.739,0.736,0.938,0.6,0.292,20
Zay Flowers,WR,0.703,0.694,0.904,0.5,0.347,23
Patrick Mahomes,QB,0.756,0.833,0.953,0.4,0.133,6
Mark Andrews,TE,0.711,0.731,0.926,0.6,0.077,8
Cooper Kupp,WR,0.537,0.486,0.81,0.4,0.111,38
