team_id,team_name,overall_score_tier,overall_score,overall_score_percentile,starting_wr_score,starting_rb_score,starting_te_score,starting_qbs_score,dst_score,k_score,bench_wr_score,bench_rb_score,bench_te_score,bench_qbs_score,starting_wr_score_percentile,starting_wr_score_tier,starting_rb_score_percentile,starting_rb_score_tier,starting_te_score_percentile,starting_te_score_tier,starting_qbs_score_percentile,starting_qbs_score_tier,dst_score_percentile,dst_score_tier,k_score_percentile,k_score_tier,bench_wr_score_percentile,bench_wr_score_tier,bench_rb_score_percentile,bench_rb_score_tier,bench_te_score_percentile,bench_te_score_tier,bench_qbs_score_percentile,bench_qbs_score_tier
1,FC Skanda,C,0.8185804927476515,66.66666666666666,0.794,0.8220000000000001,0.643,0.629,0.803,0.894,0.7,0.515,0.565,0.532,50.0,C,58.333333333333336,C,16.666666666666664,D,16.666666666666664,D,91.66666666666666,B,100.0,B,100.0,A,66.66666666666666,C,83.33333333333334,B,75.0,B
2,Team Venkat,B,0.8656763072997667,75.0,0.8935,0.7495,0.749,0.735,0.755,0.708,0.5955,0.388,0.35,0.0,91.66666666666666,B,25.0,D,66.66666666666666,C,41.66666666666667,C,75.0,B,50.0,C,75.0,C,16.666666666666664,D,58.333333333333336,C,29.166666666666668,D
3,Team To,C,0.7970054953584412,58.333333333333336,0.73,0.9185,0.556,0.884,0.692,0.571,0.5660000000000001,0.642,0.0,0.0,25.0,D,100.0,B,8.333333333333332,F,91.66666666666666,B,50.0,C,33.33333333333333,D,50.0,C,100.0,A,29.166666666666668,D,29.166666666666668,D
4,Cocsaj,B,0.9134664506532619,91.66666666666666,0.8155,0.8580000000000001,0.711,0.756,0.83,0.561,0.62,0.4655,0.571,0.465,58.333333333333336,C,75.0,B,50.0,C,50.0,C,100.0,B,16.666666666666664,D,91.66666666666666,B,33.33333333333333,C,91.66666666666666,B,58.333333333333336,B
5,Deshaun Dont Touchdown There!,D,0.6748205611644409,25.0,0.7915,0.7895000000000001,0.923,0.425,0.59,0.805,0.556,0.5345,0.0,0.0,41.66666666666667,C,41.66666666666667,C,100.0,A,8.333333333333332,F,33.33333333333333,D,75.0,B,41.66666666666667,C,75.0,C,29.166666666666668,D,29.166666666666668,D
6,Rashid Shannid,B,0.9093682172402422,83.33333333333334,0.901,0.7515000000000001,0.646,0.855,0.584,0.861,0.5795,0.606,0.0,0.0,100.0,B,33.33333333333333,D,25.0,D,75.0,B,25.0,D,91.66666666666666,B,66.66666666666666,C,91.66666666666666,B,29.166666666666668,D,29.166666666666668,D
7,Big D Dorthouse,D,0.6691812565093329,16.666666666666664,0.6565,0.904,0.813,0.883,0.349,0.659,0.472,0.497,0.746,0.525,8.333333333333332,F,91.66666666666666,B,75.0,B,83.33333333333334,B,8.333333333333332,F,41.66666666666667,C,8.333333333333332,F,58.333333333333336,C,100.0,A,66.66666666666666,B
8,Team Zim,C,0.7595794794791971,41.66666666666667,0.772,0.8035000000000001,0.886,0.705,0.718,0.712,0.5760000000000001,0.5880000000000001,0.0,0.0,33.33333333333333,C,50.0,C,83.33333333333334,B,33.33333333333333,C,58.333333333333336,C,58.333333333333336,C,58.333333333333336,C,83.33333333333334,B,29.166666666666668,D,29.166666666666668,D
9,Team Khachane,D,0.6938976683535664,33.33333333333333,0.863,0.6915,0.664,0.799,0.575,0.829,0.5315,0.41325,0.0,0.707,75.0,B,8.333333333333332,F,33.33333333333333,D,66.66666666666666,C,16.666666666666664,D,83.33333333333334,B,16.666666666666664,D,25.0,D,29.166666666666668,D,100.0,B
10,Team Nguyen,D,0.6265562420441491,8.333333333333332,0.6865,0.875,0.91,0.637,0.686,0.512,0.5395000000000001,0.47,0.0,0.0,16.666666666666664,D,83.33333333333334,B,91.66666666666666,B,25.0,D,41.66666666666667,C,8.333333333333332,D,25.0,D,41.66666666666667,C,29.166666666666668,D,29.166666666666668,D
11,Bustin' Tucker's Happy Endings,A,0.9946521158682358,100.0,0.8915,0.829,0.704,0.758,0.784,0.569,0.619,0.3595,0.523,0.575,83.33333333333334,B,66.66666666666666,C,41.66666666666667,C,58.333333333333336,C,83.33333333333334,B,25.0,D,83.33333333333334,B,8.333333333333332,F,75.0,B,83.33333333333334,B
12,Team Arani,C,0.7839656617715547,50.0,0.8454999999999999,0.71,0.737,0.893,0.741,0.734,0.5495,0.47050000000000003,0.462,0.628,66.66666666666666,B,16.666666666666664,D,58.333333333333336,C,100.0,B,66.66666666666666,C,66.66666666666666,C,33.33333333333333,C,50.0,C,66.66666666666666,B,91.66666666666666,B
